rank,name_russian,name_english,name_original,film_url,country,production_year,soviet_release_year,viewers_total,avg_ticket_price_rub,box_office_rubles
158,Переполох,,,https://www.kino-teatr.ru/kino/movie/sov/5077/annot/,,1975,1976,2600000,0.46,1196000.00
159,Что человеку надо,,,https://www.kino-teatr.ru/kino/movie/sov/8746/annot/,,1975,1976,2500000,0.46,1150000.00
160,Мальчик и лось,,,https://www.kino-teatr.ru/kino/movie/sov/3687/annot/,,1975,1976,2500000,0.46,1150000.00
161,Гитлер с нашей улицы,,,https://www.kino-teatr.ru/kino/movie/euro/102018/annot/,Югославия,1975,1976,2400000,0.46,1104000.00
162,Виноваты туманы,,,https://www.kino-teatr.ru/kino/movie/euro/98928/annot/,ГДР,1973,1976,2400000,0.46,1104000.00
163,Павел и Павлинка,,,https://www.kino-teatr.ru/kino/movie/euro/89529/annot/,Чехословакия,1974,1976,2400000,0.46,1104000.00
164,Место под солнцем,,,https://www.kino-teatr.ru/kino/movie/sov/13870/annot/,,1975,1976,2400000,0.46,1104000.00
165,Цвет золота,,,https://www.kino-teatr.ru/kino/movie/sov/9115/annot/,,1974,1976,2400000,0.46,1104000.00
166,Я уже взрослый,,,https://www.kino-teatr.ru/kino/movie/euro/133242/annot/,ГДР,1974,1976,2300000,0.46,1058000.00
167,Экзамены некстати,,,https://www.kino-teatr.ru/kino/movie/euro/111060/annot/,Болгария,1974,1976,2200000,0.46,1012000.00
